"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 11:28:19.378","0","1.5624996875000625174","199.99996000000800223","0","0","100","100","100","100","212525056","111898624","134422528","32862208","23109632"
"05/08/2020 11:28:20.379","1.5624614072032421142","7.8123070360162101267","199.99506012201499061","0","0","100","100","100","100","212525056","111898624","135241728","32862208","23109632"
"05/08/2020 11:28:21.393","4.6210096780455067744","6.1613462373940084404","197.16307959660827009","0","0","100","100","100","100","212525056","111898624","136011776","32862208","23109632"
"05/08/2020 11:28:22.377","4.7617862463359639236","1.5872620821119880485","199.99502234611051676","0","0","100","100","100","100","212525056","111898624","136814592","32862208","23109632"
"05/08/2020 11:28:23.393","0","4.6154945919696013235","200.00476565201603307","0","0","100","100","100","100","212525056","111898624","137601024","32862208","23109632"
"05/08/2020 11:28:24.377","4.7619057294030691097","6.3492076392040921462","198.41273872512786625","0","0","100","100","100","100","214745088","111898624","122654720","32862208","23109632"
"05/08/2020 11:28:25.393","1.5384592662755451897","3.0769185325510903795","201.53816388209642696","0","0","100","100","100","100","214745088","111898624","125779968","32862208","23109632"
"05/08/2020 11:28:26.391","3.1300766713532679475","3.1300766713532679475","198.759868630932516","0","0","100","100","100","100","214745088","111898624","126779392","32862208","23109632"
"05/08/2020 11:28:27.376","0","4.761903310658039068","199.99993904763761066","0","0","100","100","100","100","214745088","111898624","127700992","32862208","23109632"
"05/08/2020 11:28:28.376","6.249850003599913606","1.5624625008999784015","203.12012511699717265","0","0","100","100","100","100","214745088","111898624","128634880","32862208","23109632"
"05/08/2020 11:28:29.391","0","6.1539885476734728087","201.54312493630621361","0","0","100","100","100","100","214745088","111898624","129613824","32862208","23109632"
"05/08/2020 11:28:30.376","1.5872401535493585456","1.5872401535493585456","203.16673965431789384","0","0","100","100","100","100","214745088","111898624","130531328","32862208","23109632"
"05/08/2020 11:28:31.382","0","1.5526720517142642564","203.40003877456859982","0","0","100","100","100","100","214700032","111898624","131416064","32862208","23109632"
"05/08/2020 11:28:32.374","3.1505071358734584308","7.8762678396836465211","195.33144242415443159","0","0","100","100","100","100","214708224","111898624","132317184","32862208","23109632"
"05/08/2020 11:28:33.374","6.2498025062408029129","9.3747037593612034811","195.30632832002507371","0","0","100","100","100","100","214708224","111898624","133267456","32862208","23109632"
"05/08/2020 11:28:34.390","1.5384551763576705952","3.0769103527153411903","199.99917292649718092","0","0","100","100","100","100","214708224","111898624","134168576","32862208","23109632"
"05/08/2020 11:28:35.374","6.3494346869718540916","6.3494346869718540916","196.83247529612748394","0","0","100","100","100","100","214708224","111898624","135004160","32862208","23109632"
"05/08/2020 11:28:36.380","3.1051423044488193348","3.1051423044488193348","198.72910748472443743","0","0","100","100","100","100","214708224","111898624","135876608","32862208","23109632"
"05/08/2020 11:28:37.388","0","1.5500799841271810653","201.51039793653353627","0","0","100","100","100","100","214708224","111898624","136761344","32862208","23109632"
"05/08/2020 11:28:38.373","0","3.174698637287277414","203.1807127863857545","0","0","100","100","100","100","214708224","111898624","137601024","32862208","23109632"
"05/08/2020 11:28:39.388","3.0768285567498132593","3.0768285567498132593","201.53227046711279513","0","0","100","100","100","100","214708224","111898624","134897664","32862208","23109632"
"05/08/2020 11:28:40.373","0","7.9365337365414161397","200.00065016084369063","0","0","100","100","100","100","214708224","111898624","135651328","32862208","23109632"
"05/08/2020 11:28:41.379","0","0","200.26747040264129396","0","0","100","100","100","100","214708224","111898624","136470528","32862208","23109632"
"05/08/2020 11:28:42.387","0","6.2003334688147528908","203.06092110368317094","0","0","100","100","100","100","214708224","111898624","137478144","32862208","23109632"
"05/08/2020 11:28:43.372","1.5873011035526796153","7.9365055177633978545","199.99993904763761066","0","0","100","100","100","100","214708224","111898624","111603712","32862208","23109632"
"05/08/2020 11:28:44.372","4.6873579730534169485","3.1249053153689443363","203.11884549898135788","0","0","100","100","100","100","214708224","111898624","112447488","32862208","23109632"
"05/08/2020 11:28:45.387","1.5385066806144809259","7.6925334030724048517","198.46736179926804766","0","0","100","100","100","100","214708224","111898624","113274880","32862208","23109632"
"05/08/2020 11:28:46.372","0","6.3490605828376667219","199.99540835938648797","0","0","100","100","100","100","214708224","111898624","114073600","32862208","23109632"
"05/08/2020 11:28:47.386","3.0810944047325610207","3.0810944047325610207","201.81168350998274263","0","0","100","100","100","100","214708224","111898624","114876416","32862208","23109632"
"05/08/2020 11:28:48.370","0","6.3493553474118353819","195.24267693291392334","0","0","100","100","100","100","214708224","111898624","115662848","32862208","23109632"
"05/08/2020 11:28:49.370","0","1.5624625008999784015","196.87027511339726971","0","0","100","100","100","100","214708224","111898624","116482048","32862208","23109632"
"05/08/2020 11:28:50.370","0","4.6874714064244207279","198.43628953863381525","0","0","100","100","100","100","214708224","111898624","117317632","32862208","23109632"
"05/08/2020 11:28:51.370","1.5624914062972652395","4.6874742188917961627","204.68637422494174416","0","0","100","100","100","100","214708224","111898624","118108160","32862208","23109632"
